rating,roaster,title,blind_assessment,notes,bottom_line,roaster location,coffee origin,roast level,agtron,est. price,review date,aroma,acidity,body,flavor,aftertaste,url,with milk,acidity/structure
91,Paradise Roasters,Ethiopia Yirgacheffe Natural Idido Misty Valley,"An exotic, almost violent cup. The aroma is lush with intense, shifting ripe to overripe fruit and floral notes, blueberry most distinctly, with pungent, sweet spice undertones. In the cup the fruit notes turn markedly winy, or perhaps cidery. A fermented version of blueberry remains dominant, but the rich, complexly suggestive fruit notes hint at chocolate as well. A slight, pungent saltiness shadows the cup, but smoothes out reassuringly in a convincingly smooth, long finish.","A region of lush, rolling hills in south-central Ethiopia, Yirgacheffe is the most celebrated growing region for wet-processed Ethiopia coffee, meaning coffee that has been prepared by removing the fruit before the beans or seeds have been dried, resulting in a cleanly high-toned, intensely floral- and citrus-toned cup. The Yirgacheffe reviewed here, however, is a ""natural"" or dry-processed version of the great Yirgacheffe profile, meaning the beans/seeds were dried inside the fruit, producing a flavor profile that is lower toned and richer with a giddy, wild, slightly fermented fruit. Like virtually all Ethiopia coffees, this striking and unusual coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",,"Ramsey, Minnesota","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,55/75,,October 2005,9,7,7,8,8,https://www.coffeereview.com/review/ethiopia-yirgacheffe-natural-idido-misty-valley/,,
93,Fratello Coffee Roasters,Panama Mama Cata Natural Process Geisha,"Deep, minty dark chocolate and sweet but slightly savory port wine notes in aroma and cup. Rich acidity; full, syrupy mouthfeel. The finish is sweet with dark chocolate notes when the cup is hot; as it cools a salty/savory complication emerges.","Produced from trees of the rare Ethiopia-derived botanical variety ""Gesha"" or ""Geisha” grown on the Mama Cata Estate, named after a beloved and apparently matriarchal maid of an earlier owner of the estate. With its elongated beans and distinctive floral and chocolate cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. ""Natural"" process means the beans were dried inside the fruit rather than after removal of the fruit. Calgary-based Fratello is a second-generation boutique coffee roaster owned by three brothers who focus on responsible trade relationships with coffee growers. Visit www.fratellocoffee.com or call 800-944-2545 for more information.",,"Calgary, Alberta, Canada","Boquete growing region, western Panama",Medium,50/70,CAD $52.50/12 ounces,August 2011,9,8,9,10,7,https://www.coffeereview.com/review/panama-mama-cata-natural-process-geisha/,,
86,CoffeeAM,Yemen Arabian Mocca,"Medium-bodied, sweet, with the typical wild, slightly fermented Yemen fruit tones, in this case suggesting overripe cherry, apricot, and melon. In the finish the fruit ferment reads as a sort of brandied, bittersweet chocolate. A slight astringency in the finish suggests that during storage this coffee faded a bit, as Yemens quickly do.","Yemen is the world's oldest commercial coffee, still grown and processed as it was in the 16th century. The small-holding farmers prepare their coffee in the simplest of fashion: pick it and put it out, fruit and all, to dry on the roofs of their stone houses. Yemens can be among the finest coffees in the world, but the finest are difficult to find and quick to fade. CoffeeAM.com claims that ""We're Changing the Way America Buys Coffee."" Visit www.CoffeeAM.com or call 800-803-7774 for more info.",,"Woodstock, Georgia",Central Yemen,Medium-Dark,38/46,,May 2003,8,7,7,8,,https://www.coffeereview.com/review/yemen-arabian-mocca/,,
95,GK Coffee,Ethiopia Tamiru Tadesse Tesema Anaerobic Natural,"Intensely aromatic, richly sweet-savory, deeply floral. Concord grape, lilac, dark chocolate, shiitake mushroom, fresh-cut cedar in aroma and cup. Sweet-savory structure with juicy-bright acidity; plush, syrupy mouthfeel. Resonant, long, flavor-laden finish.","Produced by Tamiru Tadesse entirely of the 74165 variety of Arabica, and processed by the anaerobic natural method, in which fermentation of the whole fruit occurs in a hermetically sealed vessel. GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].","A complex, rich-toned, deeply aromatic, sweetly savory Ethiopia processed by the anaerobic natural method.","Yilan, Taiwan","Sidama growing region, southern Ethiopia",Medium-Light,62/78,NA (available in store only),January 2022,9,,9,9,9,https://www.coffeereview.com/review/ethiopia-tamiru-tadesse-tesema-anaerobic-natural/,,9
92,CafeTaster,Peru,"Rich-toned, chocolaty. Baking chocolate, cashew butter, date, magnolia, orange zest in aroma and cup. Sweet-toned with gentle, round acidity; very full, creamy mouthfeel. Finish consolidates to notes of crisp baking chocolate and cashew.","CafeTaster is a Taiwan-based specialty roaster and certified SCA training facility. For more information, visit www.facebook.com/cafetaster or email roaster Jerry Huang at [email protected].","An invitingly sweet, very chocolaty Peru cup with a pleasing crispness and especially plush mouthfeel.","Taipei City, Taiwan","Cusco Province, Peru",Medium-Light,58/77,NT $500/227 grams,August 2022,8,,9,9,8,https://www.coffeereview.com/review/peru/,,8
91,Drink Coffee Do Stuff,Ethiopia Dur Feres,"Gently fruit-toned, richly wood-framed. Pie cherry, balsa wood, maple syrup, lemon balm, grapefruit zest in aroma and cup. Sweet structure with gentle, round acidity; crisp, silky mouthfeel. Wood-framed finish with tart cherry and grapefruit suggestions.","Dur Feres, which means ""wild horse"" in Amharic, is a blend of green coffees from several southern Ethiopian wet mills or washing stations, including Bombe, Qonqona, Shantawene, and Damo, all processed by the natural method (coffee is dried in the whole fruit). Drink Coffee Do Stuff operates a roastery in Truckee, California and a coffee shop in nearby Incline Village, Nevada. Visit www.drinkcoffeedostuff.com for more information.",An invigoratingly tart-leaning natural Ethiopia with integrated and harmonious aromatic wood suggestions throughout.,"Truckee, California","Guji Zone, Oromia Region, southern Ethiopia",Light,65/84,$22.00/12 ounces,February 2023,8,,8,9,8,https://www.coffeereview.com/review/ethiopia-dur-feres/,,8
77,Starbucks,Colombia VIA Instant Coffee,"In the aroma faint but complex suggestions of butter, nut, fruit and dark chocolate peer out from under a burned or steamed wood sensation. Acidity is bitterish with some hints of tart sweetness. The body is full in weight, slightly leanish in mouthfeel. The burned or steam-scorched wood sensation dominates in the cup, sitting on continued, potentially pleasing hints of fruit and dark chocolate. Clean short finish: sweet, rich, simple, but a mildly astringent version of the scorched wood note reasserts itself in the long.","An instant coffee evaluated as mixed in proportions of 2.5 grams to 150 ml or 5 ounces of hot water. Assuming a larger cup size and a more generous 3 grams (one packet) per serving, this product costs approximately one dollar per serving. Consists mainly of spray-dried instant coffee with the addition of very finely, “micro” ground roast coffee. We cupped a Starbucks whole bean 100% Colombia purchased at the same supermarket from which we purchased the VIA instant version and rated it 84. Visit www.starbucks.com for more information. Visit www.starbucks.com for more information.",,"Seattle, Washington",Colombia. All coffee of the Arabica species.,NA,0/0,$7.99/0.94 oz. instant,March 2011,5,5,7,5,5,https://www.coffeereview.com/review/colombia-via-instant-coffee/,,
92,Dante Coffee,D31 The New Life,"Evaluated as espresso. Assertively sweet, fruity, spicy. Ripe banana, baking chocolate, allspice, lemon drop, dried lavender and narcissus in aroma and small cup. The mouthfeel is syrupy though drying, the finish rich-toned though rather drying and heavyish in the long. In three-parts milk the coffee balances nicely, with high-toned sweetness and florals showing with pleasing clarity.","This is a blend of wet-processed Ethiopia Sidamo and washed and wet-hulled Sumatra Mandheling. Founded in 1993, Dante Coffee now has 120 coffee shops shops in Taiwan, 20 in Indonesia, five in Kuwait, and one in Saudi Arabia. The company aims to provide customers with the highest-quality coffee and meals at affordable prices. Visit http://www.dante.com.tw for more information.","An undeniably powerful espresso, and an interesting and engaging interpretation of the ancient Mocha-Java blend concept, combining fruit and flowers from an Ethiopia/Yemen coffee with rich spice and sweet depth from an Indonesia.","Taipei City, Taiwan",Ethiopia; Sumatra,Medium-Light,54/69,NTD $300/200 grams,September 2019,9,,8,9,7,https://www.coffeereview.com/review/d31-the-new-life/,9,
76,La Flor del Cafe,Green,"Most found this Antigua a bit underpowered, perhaps owing to its relatively light body (noted by almost everyone). Some found compensating virtues: chocolaty, spicy, nutty notes. Others praised a soft, sweet smoothness. Still others objected: ""a bit lifeless""; ""not so happening""; ""thin""; and most Originsal, ""straightlaced[!]"". Only two found outright failings: a slight sourness. One delivered an inspired characterization of the subtle fragrance: ""Dancing on fruity.""","Light body with chocolaty, spicy and nutty notes. Originally reviewed by a panel as a green coffee.",,Guatemala,,Medium-Dark,39/45,,July 1997,5.8,4.9,5.2,5.3,,https://www.coffeereview.com/review/green-7/,,
93,Oceana Coffee,Ethiopia Honey Yirgacheffe Koke,"Fruit-forward, deep-toned. Blueberry jam, dark chocolate, magnolia, lemon verbena, maple syrup in aroma and cup. Sweet structure with pert acidity; full, syrupy mouthfeel. The berry-driven finish is supported by suggestions of dark chocolate and lemon verbena.","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Established in 2009 by Amy and Scott Angelo, Oceana brews specialty coffees that have been roasted in small batches at its roasting house and café in Tequesta, Florida. Oceana reports that its staff is obsessed with every detail of the process, from sourcing the beans to how the coffee is poured, aimed at ensuring that every cup is as rich and resonant as it should be. Visit www.oceanacoffee.com for more information.","Like blueberries? If so, you’ll enjoy this cleanly natural-processed Yirgacheffe cup with dark chocolate undertones.","Tequesta, Florida","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/77,$22.00/12 ounces,January 2021,9,,9,9,8,https://www.coffeereview.com/review/ethiopia-honey-yirgacheffe-koke/,,8
95,Dragonfly Coffee Roasters,Finca La Aurora Camilina Geisha,"Massively complex: original; brisk yet juicy. Lilac, tropical fruit, floral-toned herb, vanilla, frankincense in aroma and cup. Big, richly juicy acidity; syrupy mouthfeel. Flowers and fruit leave the herbs and incense behind in a long, shimmering finish.","Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Dragonfly Coffee is a Boulder, Colorado-based micro-roaster that produces high-quality coffees and supports worthy causes. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.",,"Boulder, Colorado","Piedra Candela, Chiriqui Province, far western Panama.",Light,62/88,$48.50/8 ounces,April 2015,9,9,9,9,9,https://www.coffeereview.com/review/finca-la-aurora-camilina-geisha/,,
92,Kasasagi Coffee Roasters,Syunmei Espresso Blend,"Evaluated as espresso. Richly sweet-tart. Bing cherry, dark chocolate, fir, almond, gardenia in aroma and small cup. Crisp, velvety mouthfeel; chocolaty, wood-toned finish. Notes of dark chocolate and gardenia lead in cappuccino-scaled milk.",A blend of coffees from four origins roasted for espresso applications. Kasasagi is a Taiwan-based company that specializes in roasting “Japanese-style” coffees. Visit https://www.facebook.com/Kasasagicoffee/ for more information.,"A friendly, accessible espresso blend with tart fruit and dark chocolate notes. Especially attractive in cappuccino format.","Taipei, Taiwan",Ethiopia; Panama; Guatemala; El Salvador,Medium-Light,54/77,NT $500/200 grams,June 2022,8,,8,9,8,https://www.coffeereview.com/review/syunmei-espresso-blend/,9,
94,Jaunt Coffee Roasters,Ethiopia Bensa Asefa Qonqana,"Juicy, bright, delicate, balanced. Apricot, dark chocolate, lilac, maple syrup, almond butter in aroma and cup. Crisply sweet-tart with crisp, citrusy acidity; vibrantly silky mouthfeel. Chocolaty, fruit-toned finish with hints of lilac.","Produced from indigenous Ethiopia landrace varieties of Arabica by smallholding farmers surrounding the Qonqana Washing Station operated by the Daye Bensa group, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","An harmonious, inviting washed Ethiopia cup in which fruit, flowers and chocolate gracefully commingle.","San Diego, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,64/86,$26.00/12 ounces,March 2022,9,,9,9,8,https://www.coffeereview.com/review/ethiopia-bensa-asefa-qonqana/,,9
98,GK Coffee,GW01 Finca Sophia Olympus Geisha,"Graceful, polished, exquisitely floral. Lavender, vanilla bean, bergamot, cocoa nib, lychee in aroma and cup. Delicate, vivid, multi-layered structure with elegantly sweet-tart acidity; very silky, buoyant mouthfeel. Elongated, richly floral, complex finish.","This exceptional coffee was selected as the No. 1 coffee on Coffee Review’s list of the Top 30 Coffees of 2020. The coffee won first place in the washed Geisha category of the 2020 Best of Panama green coffee competition and was subsequently sold at auction for a price that broke all previous records for a green coffee. Produced at Finca Sophia entirely from trees of the celebrated Geisha variety of Arabica. This is a wet-processed or “washed” version, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. Only sold via email request. For more information, visit www.gkcoffee.com.tw or email [email protected].","This Best of Panama winner also won us over with its layers of floral tones (lavender, violet, jasmine, freesia) delicately ensconced in cocoa and tropical fruit notes, all complicated by a lightly bracing bittersweet citrus.","Yilan, Taiwan","Nueva Suiza, Chiriquí, Panama",Medium-Light,58/76,"NT $5,000/20 grams",November 2020,10,,9,10,9,https://www.coffeereview.com/review/gw01-finca-sophia-olympus-geisha/,,10
95,Kakalove Cafe,Kenya Gitare AA TOP,"Sweetly bright, richly savory. Narcissus, pink grapefruit zest, ripe blackberry, cocoa nib, salted caramel in aroma and cup. Sweet-savory, complex structure with juicy acidity; plush, very syrupy mouthfeel. Narcissus and salted caramel notes lead in the long, resonant finish.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A superb version of the beloved Kenya cup with deep berry and bittersweet citrus supported by an umami, salted-caramel throughline.","Chia-Yi, Taiwan","Embu County, Eastern Province, Kenya",Light,62/80,NT $340/8 ounces,November 2022,9,,9,9,9,https://www.coffeereview.com/review/kenya-gitare-aa-top/,,9
88,Capricorn Coffees,Organic Fair Trade Sumatra Gayoland,"Sweet, rich, with an impressive balance of dry acidy notes and sweetness. A combination of slightly fermented fruit and musty earthiness reads here as a fine intrigue of papaya, raisins and chocolate.","A traditionally processed Sumatra from the gigantic Gayo Mountain cooperative. Capricorn Coffees is one of the earliest established specialty coffee roasters in the San Francisco area, and in the United States generally. Visit www.capricorncoffees.com or call 800-541-0758 for more information.",,"San Francisco, California","Aceh Province, northern Sumatra",Medium-Dark,42/53,,September 2004,8,7,7,8,,https://www.coffeereview.com/review/organic-fair-trade-sumatra-gayoland/,,
86,Safeway Select,Colombia Medium Roast,"Deep-toned, simple aroma with fir and molasses notes. In the cup low-toned acidity, syrupy mouthfeel, continued fir and molasses notes, caramel, and perhaps a slight fruity tartness suggesting dry berry or tamarind. Sweet, simple, rich finish.","Available whole-bean in bulk at many Safeway supermarkets. In early October 2008 on sale for $7.99 per pound; normally $10.64 per pound. Safeway is the third-largest supermarket chain in the United States, with nearly 1,800 stores in western and central United States and western Canada. Visit www.safeway.com for more information.",,"Pleasanton, California",Colombia.,Medium,56/64,,October 2008,7,7,8,7,7,https://www.coffeereview.com/review/colombia-medium-roast/,,
93,Taster's Coffee,Ethiopia Guji Shakisso Mormora Estate Natural,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Delicately sweet, citrus-toned. Tangerine zest, cocoa nib, jasmine, almond, cherry blossom in aroma and small cup. Crisp, silky mouthfeel; cocoa-toned, citrusy finish. In three parts milk, cocoa notes move forward while tangerine falls back to a supporting role.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Taster’s Coffee is a nano-roaster based in New Taipei City, Taiwan. Visit www.tasterscoffee.com for more information.","An engaging natural-processed Ethiopia in Nespresso-compatible format, especially appealing in the bright, cocoa-toned straight shot.","New Taipei City, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",NA,0/0,NT $280/10 capsules,October 2021,9,,8,9,8,https://www.coffeereview.com/review/ethiopia-guji-shakisso-mormora-estate-natural/,9,
93,GivCOFFEE,Rwanda Karongi Gitesi,"Deeply sweet and chocolaty with a savory edge. Honey, chocolate, lilac, mulberry in aroma and cup. Delicately brisk acidity; syrupy mouthfeel. Chocolate and honey in particular saturate a crisp, rich finish.","From trees of the heirloom Bourbon variety and processed at prize-winning Gitesi mill. Rwanda's impressive potential as fine coffee producer has come to fruition over the past decade owing to the industry of its growers, generous support from international aid agencies, and the commitment of North American specialty coffee roasters. GivCOFFEE is dedicated to three goals: to provide quality coffee, to provide a fair price to farmers, and to give back to those in need. GivCOFFEE donates two dollars of every retail bag sold. Visit www.givcoffee.com or call 860-874-5301 for more information.",,"Torrington, Connecticut","Kirambo, Karongi District, Rwanda.",Medium,50/63,$14.50/12 ounces,May 2014,9,9,8,9,8,https://www.coffeereview.com/review/rwanda-karongi-gitesi-3/,,
92,Magnolia Coffee,Jade Nitro Espresso Cold Brew,"A ready-to-drink black coffee, tested cold. Richly chocolaty, boldly nut-toned, deeply sweet. Chocolate fudge, rhododendron, black cherry, fresh-cut fir, molasses. Sweet-toned structure with mild acidity; crisp, satiny-smooth mouthfeel. The chocolaty finish is supported by rhododendron and fresh-cut fir. With a splash of whole milk, fudge-like chocolate notes and undertones of black cherry win the day.","This coffee tied for the third-highest rating in a tasting of ready-to-drink black coffees for Coffee Review’s July 2020 tasting report. Brewed hot, then flash-chilled and bottled. The green coffee used is Magnolia’s Jade Espresso Blend, which consists of a Brazil semi-washed coffee, a washed Uganda and Colombia, and an El Salvador natural. Post-roast, a natural Ethiopia Yirgacheffe is added. Nitrogen gas is used throughout the whole system, including flushing the kegs and pushing the draft coffee into bottles. Contains no additives or ingredients other than coffee and water. Magnolia Coffee is a Charlotte, North Carolina-based specialty roaster whose motto is “Craft roasted. Truly delicious. Socially conscious.” Magnolia particularly emphasizes community engagement through its Local Beans for Local Good programs.Visit www.magnoliacoffeeco.com or for more information.","Magnolia’s classic espresso blend, repurposed as rich, chocolaty, nutty, deep-flavored cold brew.","Charlotte, North Carolina",Brazil; Uganda; Colombia; El Salvador; Ethiopia,NA,0/0,$18.00/4-12-ounce bottles; 32 ounces/$12; 64-ounces/$20.00,July 2020,,,8,9,8,https://www.coffeereview.com/review/jade-nitro-espresso-cold-brew/,9,8
87,Graffeo Coffee,Dark Roast (reviewed as espresso),"Reader Derick Miller called Graffeo to my attention, testifying that this groupof three small in-store roasters produces ""great coffee."" I brewed this dark-roasted version of theGraffeo blend as espresso and found it medium-bodied, smooth in mouthfeel, sweet but crisplyroasty. In small milk the bittersweetness read as a dry, smoky chocolate; in larger milk as adelicately sweet but rather dilute chocolate.","For years Graffeo has been one of San Francisco's cult coffee roasters, a small, second-generation family-owned business in the traditional Italian neighborhood of North Beach. Graffeonow has added single-store roasting locations in San Rafael and Beverly Hills, California. Graffeoproduces two versions of a single blend, light-roasted and this dark-roasted version. Visit www.graffeo.com or call 800-222-6250 for more info.",,"San Francisco, California",Colombia; Costa Rica; Papua New Guinea.,Very Dark,32/30,,January 2003,8,7,8,6,,https://www.coffeereview.com/review/dark-roast-reviewed-as-espresso/,,
95,Bird Rock Coffee Roasters,Colombia El Chaferote Pink Bourbon,"Balanced, brightly sweet. Tangerine, bay leaf, cocoa nib, narcissus, fresh-cut oak in aroma and cup. High-toned acidity; crisp, syrupy mouthfeel. Long, lingering resonant finish.","This exceptional coffee was selected as the No. 20 coffee on Coffee Review’s list of the Top 30 Coffees of 2023. Produced by Luis Gerardo Bravo Ordonez of Finca El Chaferote, entirely of the Pink Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was named the “2012 Micro Roaster of the Year” by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A compelling rendition of Pink Bourbon with distinct citrus, cocoa nib, and spicy floral tones — especially lively, juicy acidity.","San Diego, California","Huila Department, Colombia",Medium-Light,63/77,$28.00/10 ounces,September 2023,9,,9,9,9,https://www.coffeereview.com/review/colombia-el-chaferote-pink-bourbon/,,9
91,JBC Coffee Roasters,Miravalle Honduras,"Sweetly and gently brisk. Brown sugar, almond, honeysuckle, peach, roasted cacao nib in aroma and cup. Delicate, brisk acidity; very lightly silky mouthfeel. Flavor consolidates around peach and cacao nib in a quiet finish.",Honduras had dramatically increased both volume and quality of coffee production over the past several years. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,,"Madison, Wisconsin","Francisco Morazán Department, central Honduras.",Light,63/83,$14.25/12 ounces,October 2014,9,8,7,9,8,https://www.coffeereview.com/review/miravalle-honduras/,,
93,ICC,Lintong Blue Batak,"Immensely spicy, rich. Ripe fig, fresh-cut fir, moist tobacco, cumin, a hint of orange blossom in aroma and cup. Bright, lightly tart acidity; plush, velvety mouthfeel. Flavor consolidates to tobacco and dried fig in a crisply drying finish.",This coffee tied for the second-highest rating in a cupping of Sumatra coffees for Coffee Review‘s July 2016 tasting report.,"A deep-toned, complexly expressive Sumatra in which an unusual but inviting spice note emerges, suggesting cumin in its sweetly drying richness.","Taipei City, Taiwan","Lintong growing region, North Sumatra Province, Indonesia",Medium-Light,56/75,NT $500/227 grams,July 2016,9,8,9,9,8,https://www.coffeereview.com/review/lintong-blue-batak/,,
93,Buon Caffe,Ethiopia Guji Hamela Buku Abel Washed Process,"Complex, delicate, sweetly tart. Star jasmine, pink grapefruit zest, white peach, cedar, bay leaf in aroma and cup. Crisp, sweetly tart structure with bright acidity; silky-smooth mouthfeel. Grapefruit, white peach and cedar notes lead in the layered finish.","Southern Ethiopia coffees like this one are produced largely from traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp removed before drying). Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.","A classic representation of the washed southern Ethiopia type, citrusy and floral with rich aromatics throughout.","Taipei, Taiwan","Guji growing region, south-central Ethiopia",Medium-Light,62/79,NT $329/8 ounces,December 2022,9,,8,9,8,https://www.coffeereview.com/review/ethiopia-guji-hamela-buku-abel-washed-process/,,9
93,Crimson Cup Coffee & Tea,Ethiopia Kossa Kebena,"Deeply sweet, enticingly rich. Peach, lime zest, almond, violet, roasted cacao nib in aroma and cup. Sweet, juicy acidity; plush, velvety mouthfeel. The nuanced, resonant finish consolidates around peach and roasted cocoa nib.","Certified organic. Limu is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the area. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Crimson Cup is a micro-roaster based in Columbus dedicated to offering high quality coffee and to helping independent cafes brew and serve it better. Visit www.crimsoncup.com or call 614-262-6212 for more information.","A fruit-driven, harmoniously balanced Ethiopia natural.","Columbus, Ohio","Limu Kossa District, Oromia Region, southern Ethiopia",Medium-Light,58/82,$16.50/12 ounces,September 2016,9,8,9,9,8,https://www.coffeereview.com/review/ethiopia-kossa-kebena/,,
94,Old World Coffee Roasters,Ethiopia Halo Hartume Daniel Mijane,"Delicately vibrant, crisply sweet-tart. Peach, cocoa nib, lilac, pink grapefruit zest, pistachio in aroma and cup. Balanced, sweetly tart in structure; richly silky mouthfeel. The satisfying finish consolidates to notes of cocoa-toned stone fruit.","Southern Ethiopia coffees like this one are largely produced from traditional Ethiopian varieties of Arabica long grown in the region. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Southern Ethiopia coffees processed with this method typically express great aromatic complexity and intensity, with a particular emphasis on floral notes. Old World Coffee Roasters is a specialty coffee roaster with cafes in Reno and Carson City, Nevada. Visit OldWorldCoffeeRoasters.com for more information.","A high-toned, elegant washed Yirgacheffe cup with a floral and stone fruit throughline.","Reno, Nevada","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,March 2021,9,,9,9,8,https://www.coffeereview.com/review/ethiopia-halo-hartume-daniel-mijane/,,9
94,Kakalove Cafe,Ethiopia Guji Bishala,"Delicately sweet-tart, floral-toned. Narcissus, apricot, cocoa nib, lemon verbena, frankincense in aroma and cup. Sweet-tart structure with delicately juicy acidity; very full, syrupy mouthfeel. Cocoa nib and narcissus focus the long, lingering finish.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in their respective regions. Processed by the wet or washed method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","An elegant, floral-driven washed-process Ethiopia cup that presents in the cup with quiet confidence.","Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,NT $290/8 ounces,August 2020,9,,9,9,8,https://www.coffeereview.com/review/ethiopia-guji-bishala/,,9
92,The Coffee Academics,Greenwell Estate Hawaii Kona Peaberry Natural,"Deep, sweet, complexly fruit-toned. Musky lily, dark chocolate, strawberry, watermelon, roasted almond in aroma and cup. Round, vibrant acidity; full, syrupy mouthfeel. Fruit and almond carry into a richly drying finish.","This coffee was produced by Greenwell Farms, one of the oldest coffee farms and mills in Kona, still owned and operated by Tommy Greenwell, a direct descendent of the founders. It was processed by the “natural” method, in which the coffee is dried inside the whole fruit, rather than by the more orthodox “washed” method, in which the soft fruit residue is removed before the beans are dried. The Coffee Academïcs has been a purveyor and roaster of specialty coffee in Hong Kong since 2012. Visit www.the-coffeeacademics.com or call +852-3104-0075 for more information.",,"Hong Kong, China","Kona growing region, Big Island of Hawaii",Medium-Light,60/81,$32.50/165 grams,October 2015,9,8,8,9,8,https://www.coffeereview.com/review/greenwell-estate-hawaii-kona-peaberry-natural/,,
84,Allegro Coffee Roasters,Organic Papua New Guinea,"High, wild, winy notes rip through this coffee, first thrilling us, then turning uncomfortably lush in the finish, finally leveling out in a relatively clean aftertaste. American coffee culture hasn't made up its mind about this overripe, edge-of-compost taste. Is it a strange and wonderful gift of nature to be treasured, like the carefully cultivated mold in certain cheeses? Or do we dismiss it as a symptom of poorly-handled coffee?","High, wild, winy notes rip through this coffee, first thrilling, then turning uncomfortably lush in the finish, finally leveling out in a relatively clean aftertaste. Certified organically grown. Produced by small growers. Unlike estate New Guineas, which are wet-processed, this coffee has been dry-processed, which means the coffee was dried with the fruit clinging to the beans.",,"Boulder, Colorado",,Medium,52/62,,November 1997,6,7,5,7,,https://www.coffeereview.com/review/organic-papua-new-guinea/,,
83,Mayorga Coffee Roasters,India Monsooned Malabar,"Dense, heavy aroma: fresh-cut pine, Mediterranean herbs, with an elusive hint of fruit - pear perhaps. In the cup an unusually heavy, rather gritty body, bitter walnut tones and distinct pine and resiny herb notes - rosemary perhaps.","Monsooned Malabar is a fruity dry-processed coffee from India that is exposed to moisture-laden monsoon winds for three months after drying and processing but before shipping. Monsooning turns the beans puffily yellow, reduces the dry, acidy sensation, increases body, and often adds an earthy mildewed flavor to the fruity character of the original beans. Despite the words ""Medium Roast"" in the coffee name, this sample was rather dark roasted for a Monsooned coffee, a coffee type that is usually brought to a lighter roast. Mayorga Coffee Roasters is a distinguished wholesale roaster, retailer, and Internet seller of coffee and coffee accessories. Visit www.mayorgacoffee.com or call 877-526-3322 for more information.",,"Rockville, Maryland",Southern India,Medium-Dark,35/47,,July 2004,7,,8,7,,https://www.coffeereview.com/review/india-monsooned-malabar-4/,,
